day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2020-06-15,2020-06-15T00:00:00Z,525.0,525.0,18.0,4570.178,14295.0,1441.063,4616.0,12385.0,13566.0,,,,,,200.0,200.0,200.0,527.0,
2020-06-16,2020-06-16T00:00:00Z,709.0,709.0,24.0,6539.246,20612.0,4132.102,12274.0,12483.0,14852.0,,,,,,200.0,200.0,200.0,1236.0,
2020-06-17,2020-06-17T00:00:00Z,709.0,709.0,24.0,5399.881,20890.0,3118.067,12591.0,12.59,15310.0,,,,,,0.0,92.035,341.0,1482.0,
2020-06-18,2020-06-18T00:00:00Z,705.0,54.0,24.0,7.657,20.72,3.779,32.5,12.68,14.97,,,8.661,52.45,3.232,0.0,31.571,35.2,1101.0,
2020-06-19,2020-06-19T00:00:00Z,701.0,0.0,24.0,7.134,20.64,0.0,0.0,12.61,14.91,,,5.481,42.73,2.149,32.1,33.631,34.8,1810.0,
2020-06-20,2020-06-20T00:00:00Z,702.0,0.0,24.0,7.444,20.64,0.0,0.0,12.69,14.84,,,9.293,55.29,3.594,33.0,34.678,37.1,2519.0,
2020-06-21,2020-06-21T00:00:00Z,499.0,0.0,18.0,4.971,20.55,0.0,0.0,12.69,14.82,,,1.201,9.74,0.304,31.4,32.89,34.9,3207.0,
2020-06-22,2020-06-22T00:00:00Z,667.0,0.0,23.0,6.855,15.86,0.042,3.74,12.3,15.11,,,8.735,47.97,3.278,31.1,33.769,35.8,3880.0,
2020-06-23,2020-06-23T00:00:00Z,631.0,20.0,22.0,6.894,21.29,2.086,4.64,11.9,16.77,,,10.37,70.61,3.541,30.6,34.262,36.0,591.0,
2020-06-24,2020-06-24T00:00:00Z,695.0,0.0,24.0,7.249,21.42,4.054,12.66,11.95,14.79,,,9.632,49.16,3.683,33.0,35.456,38.3,1300.0,
2020-06-25,2020-06-25T00:00:00Z,704.0,0.0,24.0,7.094,15.15,2.832,12.61,12.51,14.3,,,4.828,51.46,1.891,31.6,33.148,34.5,2010.0,
2020-06-26,2020-06-26T00:00:00Z,695.0,0.0,24.0,7.124,20.68,4.561,12.21,12.52,14.94,,,9.917,44.75,3.813,32.1,33.9,36.7,2719.0,
2020-06-27,2020-06-27T00:00:00Z,702.0,0.0,24.0,7.153,21.31,4.262,12.82,12.54,14.84,,,9.484,50.98,3.667,32.5,34.225,37.1,3428.0,
2020-06-28,2020-06-28T00:00:00Z,703.0,0.0,24.0,6.176,14.7,3.269,12.64,12.48,14.05,,,6.081,38.47,2.391,30.8,32.395,34.2,4138.0,
2020-06-29,2020-06-29T00:00:00Z,702.0,0.0,24.0,6.791,14.97,2.664,12.54,12.42,13.87,,,3.525,47.08,1.382,29.8,31.015,32.2,4848.0,
2020-06-30,2020-06-30T00:00:00Z,710.0,0.0,24.0,6.971,16.12,3.463,13.04,12.45,14.77,,,6.554,58.51,2.588,30.0,31.333,33.0,5558.0,
2020-07-01,2020-07-01T00:00:00Z,705.0,0.0,24.0,7.135,17.42,3.572,12.8,12.43,14.7,,,6.026,58.2,2.363,29.7,31.26,32.9,6267.0,
2020-07-02,2020-07-02T00:00:00Z,695.0,0.0,24.0,6.506,21.09,3.959,12.81,12.46,14.82,,,8.305,53.71,3.269,30.0,31.472,34.2,6976.0,
2020-07-03,2020-07-03T00:00:00Z,689.0,0.0,24.0,7.176,20.25,3.034,12.65,12.47,14.87,,,5.077,28.84,1.863,29.5,30.647,31.9,7685.0,
2020-07-04,2020-07-04T00:00:00Z,702.0,0.0,24.0,7.229,21.05,4.575,12.82,12.45,14.72,,,8.194,38.28,3.188,30.1,31.789,33.4,8394.0,
2020-07-05,2020-07-05T00:00:00Z,705.0,0.0,24.0,6.553,20.97,3.309,13.27,12.43,14.78,,,5.155,68.54,2.02,30.0,31.533,33.4,9104.0,
2020-07-06,2020-07-06T00:00:00Z,705.0,0.0,24.0,6.975,20.46,3.453,12.76,12.42,14.78,,,5.743,50.4,2.245,30.1,31.014,32.2,9814.0,
2020-07-07,2020-07-07T00:00:00Z,704.0,0.0,24.0,7.44,21.44,4.214,13.22,12.49,14.93,,,9.43,56.23,3.678,30.8,32.176,33.8,10523.0,
2020-07-08,2020-07-08T00:00:00Z,707.0,0.0,24.0,7.048,15.15,2.906,12.55,12.45,14.16,,,4.683,46.41,1.849,29.9,31.399,33.0,11233.0,
2020-07-09,2020-07-09T00:00:00Z,703.0,0.0,24.0,7.379,20.57,4.55,12.61,12.48,14.85,,,10.174,52.17,3.963,30.7,32.894,35.2,11942.0,
2020-07-10,2020-07-10T00:00:00Z,703.0,0.0,24.0,7.752,21.11,3.819,12.61,12.51,15.07,,,6.532,52.19,2.536,31.7,33.128,35.0,12652.0,
2020-07-11,2020-07-11T00:00:00Z,706.0,0.0,24.0,8.494,21.42,4.328,12.77,12.54,15.17,,,5.579,50.37,2.186,32.2,34.005,36.1,13361.0,
2020-07-12,2020-07-12T00:00:00Z,709.0,0.0,24.0,8.015,21.55,3.78,12.88,12.54,15.3,,,5.307,53.85,2.092,32.0,33.707,36.3,14071.0,
