day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,scaled_channels
2021-11-01,2021-11-01T00:00:00Z,556.0,0.0,20.0,6.166,21.15,2.57,11.97,10.57,15.21,,,-39.151,0.0,-10.597,31.3,34.531,36.6,
2021-11-02,2021-11-02T00:00:00Z,666.0,0.0,24.0,8.109,21.04,3.78,11.95,10.57,15.23,,,-51.332,0.0,-18.092,33.0,34.78,37.1,
2021-11-03,2021-11-03T00:00:00Z,671.0,0.0,24.0,7.788,21.06,3.355,12.02,10.56,15.11,,,-49.289,0.0,-18.488,33.1,35.004,37.2,
2021-11-04,2021-11-04T00:00:00Z,667.0,0.0,24.0,8.101,21.41,3.41,12.38,10.57,15.21,,,-51.229,0.0,-19.685,33.3,35.036,37.2,
2021-11-05,2021-11-05T00:00:00Z,694.0,0.0,24.0,7.671,21.06,2.932,11.99,10.2,15.26,,,-48.302,0.0,-18.207,31.8,33.957,36.4,
2021-11-06,2021-11-06T00:00:00Z,710.0,0.0,24.0,8.17,20.88,3.53,12.21,10.58,15.22,,,-51.671,0.0,-20.386,32.3,34.431,36.6,
2021-11-07,2021-11-07T00:00:00Z,671.0,0.0,24.0,7.638,20.75,3.149,12.09,10.49,15.24,,,-48.218,0.0,-18.683,32.8,34.585,36.7,
2021-11-08,2021-11-08T00:00:00Z,709.0,0.0,24.0,8.197,21.0,3.6,12.2,10.58,15.24,,,-51.912,0.0,-20.461,33.4,35.276,37.5,
2021-11-09,2021-11-09T00:00:00Z,676.0,0.0,24.0,6.958,20.78,2.404,11.71,10.43,14.88,,,-43.804,0.0,-15.886,32.7,34.343,35.8,
2021-11-10,2021-11-10T00:00:00Z,591.0,0.0,24.0,7.366,21.08,2.966,12.22,10.59,15.09,,,-46.383,0.0,-15.51,32.7,34.162,35.8,
2021-11-11,2021-11-11T00:00:00Z,612.0,0.0,24.0,6.579,21.21,2.118,11.58,10.57,14.87,,,-41.077,0.0,-14.469,31.1,33.058,34.6,
2021-11-12,2021-11-12T00:00:00Z,701.0,0.0,24.0,7.816,21.53,3.242,12.3,10.56,15.27,,,-49.117,0.0,-18.913,31.6,33.816,35.9,
2021-11-13,2021-11-13T00:00:00Z,698.0,0.0,24.0,7.751,21.23,3.347,12.16,10.56,15.24,,,-48.943,0.0,-19.273,32.5,34.057,35.9,
2021-11-14,2021-11-14T00:00:00Z,658.0,0.0,24.0,6.424,15.35,2.081,4.63,10.54,14.63,,,-40.379,0.0,-14.823,30.3,32.32,34.1,
