ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_avg,battery_v_min,battery2_v_min,power_w_avg,power_w_max,temp_c_avg,current_a_avg,energy_wh,scaled_channels
2021-11-01T04:00:00Z,23.0,0.0,19.02,20.35,10.077,11.97,14.655,14.41,,-120.768,-98.6,33.943,-6.348,-1.543,
2021-11-01T05:00:00Z,29.0,0.0,18.034,20.51,8.905,11.84,14.47,13.57,,-114.44,-86.31,34.848,-6.34,-1.844,
2021-11-01T06:00:00Z,24.0,0.0,17.654,20.54,9.434,11.77,14.464,13.53,,-112.31,-86.07,35.387,-6.357,-1.497,
2021-11-01T07:00:00Z,18.0,0.0,18.518,20.84,8.36,11.62,14.633,14.06,,-117.318,-89.68,35.944,-6.333,-1.173,
2021-11-01T08:00:00Z,21.0,0.0,18.011,21.15,4.55,4.6,14.716,14.1,,-112.805,-89.91,36.438,-6.263,-1.316,
2021-11-01T09:00:00Z,26.0,0.0,13.63,14.73,4.149,4.45,13.367,12.61,,-86.456,-81.81,36.504,-6.344,-1.249,
2021-11-01T10:00:00Z,30.0,0.0,5.196,13.26,1.423,3.83,12.641,12.61,,-33.509,0.0,36.197,-6.45,-0.558,
2021-11-01T11:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,12.637,12.61,,0.0,0.0,35.473,-6.449,0.0,
2021-11-01T12:00:00Z,29.0,0.0,0.0,0.0,0.0,0.0,12.613,12.59,,0.0,0.0,35.286,-6.441,0.0,
2021-11-01T13:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,12.601,12.57,,0.0,0.0,35.013,-6.439,0.0,
2021-11-01T14:00:00Z,29.0,0.0,0.0,0.0,0.0,0.0,12.576,12.54,,0.0,0.0,34.676,-6.433,0.0,
2021-11-01T15:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,10.865,10.57,,0.0,0.0,34.55,-6.533,0.0,
2021-11-01T16:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,10.624,10.61,,0.0,0.0,34.23,-6.545,0.0,
2021-11-01T17:00:00Z,29.0,0.0,0.0,0.0,0.0,0.0,10.628,10.62,,0.0,0.0,33.824,-6.543,0.0,
2021-11-01T18:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,10.63,10.62,,0.0,0.0,33.487,-6.54,0.0,
2021-11-01T19:00:00Z,29.0,0.0,0.0,0.0,0.0,0.0,10.628,10.62,,0.0,0.0,33.362,-6.536,0.0,
2021-11-01T20:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,10.615,10.6,,0.0,0.0,33.197,-6.535,0.0,
2021-11-01T21:00:00Z,30.0,0.0,0.0,0.0,0.0,0.0,10.602,10.6,,0.0,0.0,32.73,-6.531,0.0,
2021-11-01T22:00:00Z,29.0,0.0,2.072,11.11,0.667,3.04,10.593,10.59,,-13.52,0.0,32.424,-6.529,-0.218,
2021-11-01T23:00:00Z,30.0,0.0,11.176,12.36,3.841,4.26,10.921,10.59,,-71.89,-69.34,33.11,-6.438,-1.198,
2021-11-02T00:00:00Z,29.0,0.0,13.535,14.43,4.366,4.49,13.152,12.21,,-84.296,-76.66,33.255,-6.229,-1.358,
2021-11-02T01:00:00Z,30.0,0.0,15.401,20.33,5.793,11.82,14.247,13.66,,-96.67,-87.8,33.333,-6.273,-1.611,
2021-11-02T02:00:00Z,30.0,0.0,18.322,20.5,11.402,11.95,14.658,14.26,,-116.625,-100.05,33.68,-6.364,-1.944,
2021-11-02T03:00:00Z,29.0,0.0,18.682,20.12,11.587,11.73,14.681,14.35,,-119.06,-103.74,34.221,-6.373,-1.918,
2021-11-02T04:00:00Z,30.0,0.0,18.548,20.07,11.372,11.79,14.736,14.32,,-118.162,-104.26,34.62,-6.37,-1.969,
2021-11-02T05:00:00Z,24.0,0.0,19.271,20.41,11.625,11.87,14.605,14.33,,-123.017,-104.78,35.175,-6.382,-1.64,
2021-11-02T06:00:00Z,23.0,0.0,19.169,20.54,11.326,11.86,14.635,14.33,,-122.423,-100.39,35.9,-6.384,-1.564,
2021-11-02T07:00:00Z,24.0,0.0,19.047,20.82,8.06,11.75,14.677,14.32,,-120.5,-99.39,36.496,-6.324,-1.607,
2021-11-02T08:00:00Z,23.0,0.0,17.726,21.04,4.509,4.58,14.753,14.52,,-111.024,-93.78,36.926,-6.262,-1.419,
2021-11-02T09:00:00Z,23.0,0.0,14.782,15.85,4.216,4.41,14.021,12.9,,-93.153,-85.43,37.039,-6.304,-1.19,
