day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2020-06-18,2020-06-18T00:00:00Z,1.0,1.0,1.0,,,,,,,0.744,0.744,,,,,,,1.0,battery2_v
2020-06-19,2020-06-19T00:00:00Z,349.0,349.0,13.0,,,,,,,12.171,15.076,,,,,,,344.0,battery2_v
2020-06-20,2020-06-20T00:00:00Z,700.0,700.0,24.0,,,,,,,12.152,13.15,,,,,,,1053.0,battery2_v
2020-06-21,2020-06-21T00:00:00Z,502.0,502.0,19.0,,,,,,,12.119,12.687,,,,,,,1741.0,battery2_v
2020-06-22,2020-06-22T00:00:00Z,90.0,90.0,4.0,,,,,,,12.062,12.725,,,,,,,1831.0,battery2_v
2020-06-23,2020-06-23T00:00:00Z,596.0,596.0,21.0,,,,,,,12.199,12.857,,,,,,,602.0,battery2_v
2020-06-24,2020-06-24T00:00:00Z,712.0,712.0,24.0,,,,,,,12.185,13.165,,,,,,,669.0,battery2_v
2020-06-25,2020-06-25T00:00:00Z,715.0,715.0,24.0,,,,,,,12.176,12.937,,,,,,,1390.0,battery2_v
2020-06-26,2020-06-26T00:00:00Z,712.0,712.0,24.0,,,,,,,12.119,12.895,,,,,,,2111.0,battery2_v
2020-06-27,2020-06-27T00:00:00Z,716.0,716.0,24.0,,,,,,,12.053,13.169,,,,,,,2832.0,battery2_v
2020-06-28,2020-06-28T00:00:00Z,719.0,719.0,24.0,,,,,,,12.034,13.411,,,,,,,3552.0,battery2_v
2020-06-29,2020-06-29T00:00:00Z,719.0,719.0,24.0,,,,,,,12.076,14.778,,,,,,,4273.0,battery2_v
2020-06-30,2020-06-30T00:00:00Z,713.0,713.0,24.0,,,,,,,12.091,13.666,,,,,,,4994.0,battery2_v
2020-07-01,2020-07-01T00:00:00Z,708.0,708.0,24.0,,,,,,,12.043,14.839,,,,,,,5715.0,battery2_v
2020-07-02,2020-07-02T00:00:00Z,705.0,705.0,24.0,,,,,,,11.977,13.245,,,,,,,6434.0,battery2_v
2020-07-03,2020-07-03T00:00:00Z,688.0,688.0,24.0,,,,,,,12.072,13.023,,,,,,,7155.0,battery2_v
2020-07-04,2020-07-04T00:00:00Z,707.0,707.0,24.0,,,,,,,12.124,12.729,,,,,,,7875.0,battery2_v
2020-07-05,2020-07-05T00:00:00Z,717.0,717.0,24.0,,,,,,,11.991,12.824,,,,,,,8596.0,battery2_v
2020-07-06,2020-07-06T00:00:00Z,719.0,719.0,24.0,,,,,,,12.072,12.909,,,,,,,9318.0,battery2_v
2020-07-07,2020-07-07T00:00:00Z,714.0,714.0,24.0,,,,,,,11.92,13.411,,,,,,,10039.0,battery2_v
2020-07-08,2020-07-08T00:00:00Z,717.0,717.0,24.0,,,,,,,12.039,12.71,,,,,,,10760.0,battery2_v
2020-07-09,2020-07-09T00:00:00Z,718.0,718.0,24.0,,,,,,,12.095,12.729,,,,,,,11481.0,battery2_v
2020-07-10,2020-07-10T00:00:00Z,709.0,709.0,24.0,,,,,,,11.982,13.448,,,,,,,12202.0,battery2_v
2020-07-11,2020-07-11T00:00:00Z,714.0,714.0,24.0,,,,,,,11.996,13.373,,,,,,,12924.0,battery2_v
2020-07-12,2020-07-12T00:00:00Z,719.0,719.0,24.0,,,,,,,12.015,12.919,,,,,,,13645.0,battery2_v
2020-07-13,2020-07-13T00:00:00Z,718.0,718.0,24.0,,,,,,,12.029,13.855,,,,,,,14366.0,battery2_v
2020-07-14,2020-07-14T00:00:00Z,711.0,711.0,24.0,,,,,,,12.058,12.824,,,,,,,15087.0,battery2_v
2020-07-15,2020-07-15T00:00:00Z,374.0,374.0,20.0,,,,,,,12.024,12.952,,,,,,,15739.0,battery2_v
2020-07-16,2020-07-16T00:00:00Z,687.0,687.0,24.0,,,,,,,12.034,13.245,,,,,,,16489.0,battery2_v
2020-07-17,2020-07-17T00:00:00Z,717.0,717.0,24.0,,,,,,,12.015,12.966,,,,,,,17210.0,battery2_v
2020-07-18,2020-07-18T00:00:00Z,718.0,718.0,24.0,,,,,,,12.058,13.306,,,,,,,17931.0,battery2_v
2020-07-19,2020-07-19T00:00:00Z,719.0,719.0,24.0,,,,,,,12.034,12.923,,,,,,,18652.0,battery2_v
2020-07-20,2020-07-20T00:00:00Z,721.0,721.0,24.0,,,,,,,12.095,12.805,,,,,,,19374.0,battery2_v
2020-07-21,2020-07-21T00:00:00Z,721.0,721.0,24.0,,,,,,,12.058,13.146,,,,,,,20095.0,battery2_v
2020-07-22,2020-07-22T00:00:00Z,718.0,718.0,24.0,,,,,,,11.987,12.909,,,,,,,20816.0,battery2_v
2020-07-23,2020-07-23T00:00:00Z,713.0,713.0,24.0,,,,,,,11.987,12.966,,,,,,,21537.0,battery2_v
