day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max
2021-01-01,2021-01-01T00:00:00Z,701.0,701.0,24.0,,,,,,,11499.0,11982.0,,,,,,
2021-01-02,2021-01-02T00:00:00Z,703.0,703.0,24.0,,,,,,,11386.0,11849.0,,,,,,
2021-01-03,2021-01-03T00:00:00Z,712.0,712.0,24.0,,,,,,,11267.0,11793.0,,,,,,
2021-01-04,2021-01-04T00:00:00Z,705.0,705.0,24.0,,,,,,,11078.0,11731.0,,,,,,
2021-01-05,2021-01-05T00:00:00Z,701.0,701.0,24.0,,,,,,,9772.0,11518.0,,,,,,
2021-01-06,2021-01-06T00:00:00Z,712.0,712.0,24.0,,,,,,,5912.0,10690.0,,,,,,
2021-01-07,2021-01-07T00:00:00Z,17.0,17.0,1.0,,,,,,,5500.0,6011.0,,,,,,
2021-01-12,2021-01-12T00:00:00Z,668.0,668.0,23.0,,,,,,,12171.0,12867.0,,,,,,
2021-01-13,2021-01-13T00:00:00Z,711.0,711.0,24.0,,,,,,,12497.0,12848.0,,,,,,
2021-01-14,2021-01-14T00:00:00Z,709.0,709.0,24.0,,,,,,,12431.0,12848.0,,,,,,
2021-01-15,2021-01-15T00:00:00Z,701.0,701.0,24.0,,,,,,,12374.0,12753.0,,,,,,
2021-01-16,2021-01-16T00:00:00Z,703.0,703.0,24.0,,,,,,,12318.0,12654.0,,,,,,
2021-01-17,2021-01-17T00:00:00Z,695.0,695.0,24.0,,,,,,,12247.0,12573.0,,,,,,
2021-01-18,2021-01-18T00:00:00Z,709.0,709.0,24.0,,,,,,,12181.0,12479.0,,,,,,
2021-01-19,2021-01-19T00:00:00Z,704.0,704.0,24.0,,,,,,,12162.0,12611.0,,,,,,
2021-01-20,2021-01-20T00:00:00Z,702.0,702.0,24.0,,,,,,,12128.0,12521.0,,,,,,
2021-01-21,2021-01-21T00:00:00Z,699.0,699.0,24.0,,,,,,,12091.0,12479.0,,,,,,
2021-01-22,2021-01-22T00:00:00Z,699.0,699.0,24.0,,,,,,,12048.0,12455.0,,,,,,
2021-01-23,2021-01-23T00:00:00Z,700.0,700.0,24.0,,,,,,,11996.0,12389.0,,,,,,
2021-01-24,2021-01-24T00:00:00Z,714.0,714.0,24.0,,,,,,,11811.0,12573.0,,,,,,
2021-01-25,2021-01-25T00:00:00Z,712.0,712.0,24.0,,,,,,,11911.0,12971.0,,,,,,
2021-01-26,2021-01-26T00:00:00Z,704.0,704.0,24.0,,,,,,,12483.0,12852.0,,,,,,
2021-01-27,2021-01-27T00:00:00Z,711.0,711.0,24.0,,,,,,,12417.0,12810.0,,,,,,
2021-01-28,2021-01-28T00:00:00Z,708.0,708.0,24.0,,,,,,,12341.0,12734.0,,,,,,
2021-01-29,2021-01-29T00:00:00Z,702.0,702.0,24.0,,,,,,,12266.0,12550.0,,,,,,
2021-01-30,2021-01-30T00:00:00Z,706.0,706.0,24.0,,,,,,,12199.0,12535.0,,,,,,
2021-01-31,2021-01-31T00:00:00Z,693.0,693.0,24.0,,,,,,,12185.0,12620.0,,,,,,
2021-02-01,2021-02-01T00:00:00Z,693.0,693.0,24.0,,,,,,,12138.0,12493.0,,,,,,
2021-02-02,2021-02-02T00:00:00Z,708.0,708.0,24.0,,,,,,,12105.0,12431.0,,,,,,
2021-02-03,2021-02-03T00:00:00Z,699.0,699.0,24.0,,,,,,,12053.0,12389.0,,,,,,
2021-02-04,2021-02-04T00:00:00Z,681.0,681.0,24.0,,,,,,,12024.0,12360.0,,,,,,
2021-02-05,2021-02-05T00:00:00Z,686.0,686.0,24.0,,,,,,,11982.0,12393.0,,,,,,
2021-02-06,2021-02-06T00:00:00Z,706.0,706.0,24.0,,,,,,,11944.0,12341.0,,,,,,
2021-02-07,2021-02-07T00:00:00Z,708.0,708.0,24.0,,,,,,,11901.0,12346.0,,,,,,
2021-02-08,2021-02-08T00:00:00Z,699.0,699.0,24.0,,,,,,,11845.0,12275.0,,,,,,
2021-02-09,2021-02-09T00:00:00Z,704.0,704.0,24.0,,,,,,,11816.0,12223.0,,,,,,
2021-02-10,2021-02-10T00:00:00Z,705.0,705.0,24.0,,,,,,,11783.0,12280.0,,,,,,
2021-02-11,2021-02-11T00:00:00Z,625.0,625.0,21.0,,,,,,,11797.0,12275.0,,,,,,
2021-02-13,2021-02-13T00:00:00Z,332.0,332.0,12.0,,,,,,,9134.0,12374.0,,,,,,
2021-02-16,2021-02-16T00:00:00Z,49.0,49.0,2.0,,,,,,,12251.0,12393.0,,,,,,
2021-02-17,2021-02-17T00:00:00Z,703.0,703.0,24.0,,,,,,,12214.0,12559.0,,,,,,
2021-02-18,2021-02-18T00:00:00Z,707.0,707.0,24.0,,,,,,,12162.0,12630.0,,,,,,
2021-02-19,2021-02-19T00:00:00Z,708.0,708.0,24.0,,,,,,,12124.0,12474.0,,,,,,
2021-02-20,2021-02-20T00:00:00Z,710.0,710.0,24.0,,,,,,,12086.0,12408.0,,,,,,
2021-02-21,2021-02-21T00:00:00Z,704.0,704.0,24.0,,,,,,,12048.0,12540.0,,,,,,
2021-02-22,2021-02-22T00:00:00Z,708.0,708.0,24.0,,,,,,,12020.0,12493.0,,,,,,
2021-02-23,2021-02-23T00:00:00Z,663.0,663.0,24.0,,,,,,,11987.0,12427.0,,,,,,
2021-02-24,2021-02-24T00:00:00Z,709.0,709.0,24.0,,,,,,,11963.0,12497.0,,,,,,
2021-02-25,2021-02-25T00:00:00Z,710.0,710.0,24.0,,,,,,,11930.0,12464.0,,,,,,
2021-02-26,2021-02-26T00:00:00Z,709.0,709.0,24.0,,,,,,,11901.0,12464.0,,,,,,
2021-02-27,2021-02-27T00:00:00Z,712.0,712.0,24.0,,,,,,,11873.0,12417.0,,,,,,
2021-02-28,2021-02-28T00:00:00Z,712.0,712.0,24.0,,,,,,,11845.0,12441.0,,,,,,
2021-03-01,2021-03-01T00:00:00Z,700.0,700.0,24.0,,,,,,,11811.0,12365.0,,,,,,
2021-03-02,2021-03-02T00:00:00Z,704.0,704.0,24.0,,,,,,,11783.0,12256.0,,,,,,
