ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_avg,battery_v_min,battery2_v_min,power_w_avg,power_w_max,temp_c_avg,current_a_avg,energy_wh,scaled_channels
2021-01-01T00:00:00Z,30.0,30.0,,,,,,,11.67,,,,,,battery2_v
2021-01-01T01:00:00Z,30.0,30.0,,,,,,,11.703,,,,,,battery2_v
2021-01-01T02:00:00Z,29.0,29.0,,,,,,,11.755,,,,,,battery2_v
2021-01-01T03:00:00Z,29.0,29.0,,,,,,,11.826,,,,,,battery2_v
2021-01-01T04:00:00Z,30.0,30.0,,,,,,,11.897,,,,,,battery2_v
2021-01-01T05:00:00Z,30.0,30.0,,,,,,,11.84,,,,,,battery2_v
2021-01-01T06:00:00Z,29.0,29.0,,,,,,,11.873,,,,,,battery2_v
2021-01-01T07:00:00Z,30.0,30.0,,,,,,,11.845,,,,,,battery2_v
2021-01-01T08:00:00Z,29.0,29.0,,,,,,,11.802,,,,,,battery2_v
2021-01-01T09:00:00Z,30.0,30.0,,,,,,,11.693,,,,,,battery2_v
2021-01-01T10:00:00Z,28.0,28.0,,,,,,,11.575,,,,,,battery2_v
2021-01-01T11:00:00Z,29.0,29.0,,,,,,,11.698,,,,,,battery2_v
2021-01-01T12:00:00Z,29.0,29.0,,,,,,,11.688,,,,,,battery2_v
2021-01-01T13:00:00Z,29.0,29.0,,,,,,,11.684,,,,,,battery2_v
2021-01-01T14:00:00Z,30.0,30.0,,,,,,,11.679,,,,,,battery2_v
2021-01-01T15:00:00Z,30.0,30.0,,,,,,,11.674,,,,,,battery2_v
2021-01-01T16:00:00Z,27.0,27.0,,,,,,,11.67,,,,,,battery2_v
2021-01-01T17:00:00Z,26.0,26.0,,,,,,,11.665,,,,,,battery2_v
2021-01-01T18:00:00Z,28.0,28.0,,,,,,,11.66,,,,,,battery2_v
2021-01-01T19:00:00Z,29.0,29.0,,,,,,,11.66,,,,,,battery2_v
2021-01-01T20:00:00Z,30.0,30.0,,,,,,,11.655,,,,,,battery2_v
2021-01-01T21:00:00Z,30.0,30.0,,,,,,,11.651,,,,,,battery2_v
2021-01-01T22:00:00Z,30.0,30.0,,,,,,,11.646,,,,,,battery2_v
2021-01-01T23:00:00Z,30.0,30.0,,,,,,,11.499,,,,,,battery2_v
2021-01-02T00:00:00Z,29.0,29.0,,,,,,,11.594,,,,,,battery2_v
2021-01-02T01:00:00Z,27.0,27.0,,,,,,,11.627,,,,,,battery2_v
2021-01-02T02:00:00Z,30.0,30.0,,,,,,,11.665,,,,,,battery2_v
2021-01-02T03:00:00Z,29.0,29.0,,,,,,,11.636,,,,,,battery2_v
2021-01-02T04:00:00Z,30.0,30.0,,,,,,,11.698,,,,,,battery2_v
