ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_avg,battery_v_min,battery2_v_min,power_w_avg,power_w_max,temp_c_avg,current_a_avg,energy_wh,scaled_channels
2020-05-30T06:00:00Z,1.0,1.0,34.034,34.034,,,2.085,2.085,,,,,,,"solar_v,battery_v"
2020-06-05T00:00:00Z,1.0,1.0,1.945,1.945,,,3.056,3.056,,,,,,,"solar_v,battery_v"
2020-06-05T03:00:00Z,3.0,3.0,2.155,2.464,,,2.723,2.039,,,,,,,"solar_v,battery_v"
2020-06-05T04:00:00Z,5.0,5.0,12.765,13.178,,,12.391,11.9,,,,,,,"solar_v,battery_v"
2020-06-05T08:00:00Z,3.0,3.0,1.952,2.011,,,2.199,2.039,,,,,,,"solar_v,battery_v"
2020-06-05T09:00:00Z,56.0,56.0,6.188,12.586,,,6.244,1.917,,,,,,,"solar_v,battery_v"
2020-06-05T10:00:00Z,56.0,56.0,6.436,15.171,,,6.126,1.861,,,,,,,"solar_v,battery_v"
2020-06-05T11:00:00Z,55.0,55.0,1.017,11.11,,,10.795,10.64,,,,,,,"solar_v,battery_v"
2020-06-05T12:00:00Z,57.0,57.0,0.0,0.0,,,10.684,10.49,,,,,,,"solar_v,battery_v"
2020-06-05T13:00:00Z,57.0,57.0,0.0,0.0,,,11.701,11.59,,,,,,,"solar_v,battery_v"
2020-06-05T14:00:00Z,57.0,57.0,0.0,0.0,,,11.731,11.599,,,,,,,"solar_v,battery_v"
2020-06-05T15:00:00Z,57.0,57.0,0.0,0.0,,,11.738,11.627,,,,,,,"solar_v,battery_v"
2020-06-05T16:00:00Z,56.0,56.0,0.0,0.0,,,11.759,11.646,,,,,,,"solar_v,battery_v"
2020-06-05T17:00:00Z,55.0,55.0,0.0,0.0,,,11.763,11.656,,,,,,,"solar_v,battery_v"
2020-06-05T18:00:00Z,56.0,56.0,0.0,0.0,,,11.79,11.665,,,,,,,"solar_v,battery_v"
2020-06-05T19:00:00Z,55.0,55.0,0.0,0.0,,,11.816,11.656,,,,,,,"solar_v,battery_v"
2020-06-05T20:00:00Z,58.0,58.0,0.0,0.0,,,11.816,11.721,,,,,,,"solar_v,battery_v"
2020-06-05T21:00:00Z,58.0,58.0,0.0,0.0,,,11.781,11.665,,,,,,,"solar_v,battery_v"
2020-06-05T22:00:00Z,58.0,58.0,6.082,12.614,,,11.776,11.665,,,,,,,"solar_v,battery_v"
2020-06-05T23:00:00Z,55.0,55.0,12.278,12.831,,,11.859,11.712,,,,,,,"solar_v,battery_v"
2020-06-06T00:00:00Z,57.0,57.0,12.549,13.197,,,12.125,11.881,,,,,,,"solar_v,battery_v"
2020-06-06T01:00:00Z,58.0,58.0,13.086,13.912,,,12.6,12.238,,,,,,,"solar_v,battery_v"
2020-06-06T02:00:00Z,55.0,55.0,11.814,14.081,,,11.454,10.828,,,,,,,"solar_v,battery_v"
2020-06-06T03:00:00Z,57.0,57.0,11.653,12.943,,,11.253,10.772,,,,,,,"solar_v,battery_v"
2020-06-06T04:00:00Z,55.0,55.0,11.388,12.614,,,11.021,10.678,,,,,,,"solar_v,battery_v"
2020-06-06T05:00:00Z,58.0,58.0,11.503,12.483,,,11.151,10.734,,,,,,,"solar_v,battery_v"
2020-06-06T06:00:00Z,57.0,57.0,11.564,12.633,,,11.219,10.65,,,,,,,"solar_v,battery_v"
2020-06-06T07:00:00Z,56.0,56.0,11.517,12.417,,,11.227,10.706,,,,,,,"solar_v,battery_v"
2020-06-06T08:00:00Z,58.0,58.0,11.69,12.972,,,11.274,10.565,,,,,,,"solar_v,battery_v"
2020-06-06T09:00:00Z,55.0,55.0,12.232,12.746,,,11.828,11.712,,,,,,,"solar_v,battery_v"
2020-06-06T10:00:00Z,56.0,56.0,11.777,12.671,,,11.818,11.721,,,,,,,"solar_v,battery_v"
2020-06-06T11:00:00Z,58.0,58.0,0.795,4.38,,,11.811,11.712,,,,,,,"solar_v,battery_v"
2020-06-06T12:00:00Z,57.0,57.0,0.0,0.0,,,11.813,11.712,,,,,,,"solar_v,battery_v"
2020-06-06T13:00:00Z,58.0,58.0,0.0,0.0,,,11.804,11.712,,,,,,,"solar_v,battery_v"
2020-06-06T14:00:00Z,58.0,58.0,0.0,0.0,,,11.799,11.703,,,,,,,"solar_v,battery_v"
2020-06-06T15:00:00Z,57.0,57.0,0.0,0.0,,,11.8,11.684,,,,,,,"solar_v,battery_v"
2020-06-06T16:00:00Z,56.0,56.0,0.0,0.0,,,11.791,11.693,,,,,,,"solar_v,battery_v"
2020-06-06T17:00:00Z,58.0,58.0,0.0,0.0,,,11.81,11.721,,,,,,,"solar_v,battery_v"
2020-06-06T18:00:00Z,58.0,58.0,0.0,0.0,,,11.782,11.693,,,,,,,"solar_v,battery_v"
2020-06-06T19:00:00Z,58.0,58.0,0.0,0.0,,,11.795,11.674,,,,,,,"solar_v,battery_v"
2020-06-06T20:00:00Z,57.0,57.0,0.0,0.0,,,11.794,11.703,,,,,,,"solar_v,battery_v"
2020-06-06T21:00:00Z,58.0,58.0,0.0,0.0,,,11.782,11.684,,,,,,,"solar_v,battery_v"
2020-06-06T22:00:00Z,58.0,58.0,6.43,12.614,,,11.786,11.674,,,,,,,"solar_v,battery_v"
2020-06-06T23:00:00Z,58.0,58.0,12.344,12.831,,,11.901,11.721,,,,,,,"solar_v,battery_v"
2020-06-07T00:00:00Z,58.0,58.0,12.658,13.216,,,12.187,11.947,,,,,,,"solar_v,battery_v"
2020-06-07T01:00:00Z,57.0,57.0,13.201,13.959,,,12.688,12.342,,,,,,,"solar_v,battery_v"
2020-06-07T02:00:00Z,58.0,58.0,11.959,13.752,,,11.548,10.8,,,,,,,"solar_v,battery_v"
2020-06-07T03:00:00Z,58.0,58.0,11.851,12.84,,,11.399,10.781,,,,,,,"solar_v,battery_v"
2020-06-07T04:00:00Z,57.0,57.0,12.35,13.084,,,11.883,11.082,,,,,,,"solar_v,battery_v"
