day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2022-03-05,2022-03-05T00:00:00Z,578.0,578.0,21.0,,,0.0,0.0,,,,,0.0,0.0,0.0,27.4,29.701,39.3,591.0,solar2_v
2022-03-06,2022-03-06T00:00:00Z,687.0,687.0,24.0,,,1.103,5.113,,,,,0.0,0.0,0.0,28.2,34.271,50.2,1280.0,solar2_v
2022-03-07,2022-03-07T00:00:00Z,688.0,688.0,24.0,,,1.175,5.113,,,,,0.0,0.0,0.0,19.2,33.63,50.3,1969.0,solar2_v
2022-03-08,2022-03-08T00:00:00Z,637.0,637.0,24.0,,,1.335,5.021,,,,,0.0,0.0,0.0,19.2,34.43,54.2,2652.0,solar2_v
2022-03-09,2022-03-09T00:00:00Z,685.0,685.0,24.0,,,1.019,5.01,,,,,0.0,0.0,0.0,20.5,31.717,47.3,3340.0,solar2_v
2022-03-10,2022-03-10T00:00:00Z,684.0,684.0,24.0,,,0.921,4.951,,,,,0.0,0.0,0.0,19.4,29.472,46.7,4028.0,solar2_v
2022-03-11,2022-03-11T00:00:00Z,644.0,644.0,24.0,,,1.169,4.79,,,,,0.0,0.0,0.0,18.4,33.454,53.0,4713.0,solar2_v
2022-03-12,2022-03-12T00:00:00Z,683.0,683.0,24.0,,,0.715,5.043,,,,,0.0,0.0,0.0,20.6,29.835,46.3,5401.0,solar2_v
2022-03-13,2022-03-13T00:00:00Z,683.0,683.0,24.0,,,0.966,5.331,,,,,0.0,0.0,0.0,19.1,32.859,54.9,6089.0,solar2_v
2022-03-14,2022-03-14T00:00:00Z,649.0,649.0,24.0,,,1.026,5.2,,,,,0.0,0.0,0.0,19.9,33.15,50.7,6773.0,solar2_v
2022-03-15,2022-03-15T00:00:00Z,684.0,684.0,24.0,,,1.212,5.049,,,,,0.0,0.0,0.0,22.6,34.327,53.5,7460.0,solar2_v
2022-03-16,2022-03-16T00:00:00Z,648.0,648.0,24.0,,,1.115,5.351,,,,,0.0,0.0,0.0,20.6,33.077,50.0,8138.0,solar2_v
2022-03-17,2022-03-17T00:00:00Z,674.0,674.0,24.0,,,1.11,5.126,,,,,0.0,0.0,0.0,21.0,32.913,47.5,8830.0,solar2_v
2022-03-18,2022-03-18T00:00:00Z,687.0,687.0,24.0,,,1.039,5.074,,,,,0.0,0.0,0.0,19.5,32.658,50.2,9519.0,solar2_v
2022-03-19,2022-03-19T00:00:00Z,648.0,648.0,24.0,,,1.294,4.985,,,,,0.0,0.0,0.0,21.2,34.708,52.6,10203.0,solar2_v
2022-03-20,2022-03-20T00:00:00Z,688.0,688.0,24.0,,,0.791,5.115,,,,,0.0,0.0,0.0,19.5,32.002,44.6,10891.0,solar2_v
2022-03-21,2022-03-21T00:00:00Z,683.0,683.0,24.0,,,1.136,5.43,,,,,0.0,0.0,0.0,19.3,32.261,47.3,11578.0,solar2_v
2022-03-22,2022-03-22T00:00:00Z,647.0,647.0,24.0,,,0.782,5.338,,,,,0.0,0.0,0.0,21.4,30.706,46.7,12263.0,solar2_v
2022-03-23,2022-03-23T00:00:00Z,688.0,688.0,24.0,,,1.137,5.223,,,,,0.0,0.0,0.0,20.8,34.45,54.6,12951.0,solar2_v
2022-03-24,2022-03-24T00:00:00Z,688.0,688.0,24.0,,,1.054,5.331,,,,,0.0,0.0,0.0,20.0,33.216,49.0,13639.0,solar2_v
2022-03-25,2022-03-25T00:00:00Z,646.0,646.0,24.0,,,1.345,5.32,,,,,0.0,0.0,0.0,18.7,35.386,54.0,14277.0,solar2_v
2022-03-26,2022-03-26T00:00:00Z,172.0,172.0,7.0,,,3.312,5.899,,,,,0.0,0.0,0.0,16.7,57.813,80.6,73.0,solar2_v
