day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max
2023-01-01,2023-01-01T00:00:00Z,671.0,671.0,24.0,,,,,,,,,0.0,0.0,0.0,25.1,25.922,30.6
2023-01-02,2023-01-02T00:00:00Z,258.0,258.0,10.0,,,,,,,,,0.0,0.0,0.0,25.2,25.82,26.8
2023-01-30,2023-01-30T00:00:00Z,264.0,264.0,10.0,,,,,,,,,0.0,0.0,0.0,19.4,25.865,30.5
2023-01-31,2023-01-31T00:00:00Z,688.0,688.0,24.0,,,,,,,,,0.0,0.0,0.0,20.0,25.328,30.1
2023-02-01,2023-02-01T00:00:00Z,584.0,584.0,24.0,,,,,,,,,0.0,0.0,0.0,20.9,25.748,30.3
2023-02-02,2023-02-02T00:00:00Z,659.0,659.0,24.0,,,,,,,,,0.0,0.0,0.0,19.6,24.887,29.7
2023-02-03,2023-02-03T00:00:00Z,699.0,699.0,24.0,,,,,,,,,0.0,0.0,0.0,19.7,25.028,30.1
2023-02-04,2023-02-04T00:00:00Z,600.0,600.0,24.0,,,,,,,,,0.0,0.0,0.0,20.0,24.623,29.7
2023-02-05,2023-02-05T00:00:00Z,695.0,695.0,24.0,,,,,,,,,0.0,0.0,0.0,22.8,25.29,27.3
2023-02-06,2023-02-06T00:00:00Z,667.0,667.0,24.0,,,,,,,,,0.0,0.0,0.0,23.9,26.029,27.4
2023-02-07,2023-02-07T00:00:00Z,697.0,697.0,24.0,,,,,,,,,0.0,0.0,0.0,24.3,25.649,27.2
2023-02-08,2023-02-08T00:00:00Z,666.0,666.0,24.0,,,,,,,,,0.0,0.0,0.0,24.7,26.026,27.2
2023-02-09,2023-02-09T00:00:00Z,686.0,686.0,24.0,,,,,,,,,0.0,0.0,0.0,25.1,26.043,27.3
2023-02-10,2023-02-10T00:00:00Z,649.0,649.0,24.0,,,,,,,,,0.0,0.0,0.0,25.2,26.56,28.5
2023-02-11,2023-02-11T00:00:00Z,693.0,693.0,24.0,,,,,,,,,0.0,0.0,0.0,22.4,25.592,28.7
2023-02-12,2023-02-12T00:00:00Z,668.0,668.0,24.0,,,,,,,,,0.0,0.0,0.0,22.3,25.3,27.1
2023-02-13,2023-02-13T00:00:00Z,675.0,675.0,24.0,,,,,,,,,0.0,0.0,0.0,22.7,25.775,27.5
2023-02-14,2023-02-14T00:00:00Z,673.0,673.0,24.0,,,,,,,,,0.0,0.0,0.0,24.5,26.381,28.2
2023-02-15,2023-02-15T00:00:00Z,641.0,641.0,23.0,,,,,,,,,0.0,0.0,0.0,22.8,25.662,26.9
2023-02-16,2023-02-16T00:00:00Z,695.0,695.0,24.0,,,,,,,,,0.0,0.0,0.0,22.9,26.357,28.3
2023-02-17,2023-02-17T00:00:00Z,683.0,683.0,24.0,,,,,,,,,0.0,0.0,0.0,24.2,27.785,29.2
2023-02-18,2023-02-18T00:00:00Z,689.0,689.0,24.0,,,,,,,,,0.0,0.0,0.0,24.9,27.51,29.4
2023-02-19,2023-02-19T00:00:00Z,693.0,693.0,24.0,,,,,,,,,0.0,0.0,0.0,24.2,27.041,28.6
2023-02-20,2023-02-20T00:00:00Z,654.0,654.0,24.0,,,,,,,,,0.0,0.0,0.0,27.2,28.269,29.3
2023-02-21,2023-02-21T00:00:00Z,701.0,701.0,24.0,,,,,,,,,0.0,0.0,0.0,24.9,28.058,29.6
2023-02-22,2023-02-22T00:00:00Z,651.0,651.0,24.0,,,,,,,,,0.0,0.0,0.0,24.7,28.063,29.5
2023-02-23,2023-02-23T00:00:00Z,695.0,695.0,24.0,,,,,,,,,0.0,0.0,0.0,25.7,28.151,29.7
2023-02-24,2023-02-24T00:00:00Z,632.0,632.0,24.0,,,,,,,,,0.0,0.0,0.0,27.2,29.089,29.9
2023-02-25,2023-02-25T00:00:00Z,686.0,686.0,24.0,,,,,,,,,0.0,0.0,0.0,28.2,29.097,29.9
2023-02-26,2023-02-26T00:00:00Z,658.0,658.0,24.0,,,,,,,,,0.0,0.0,0.0,24.4,27.868,29.5
2023-02-27,2023-02-27T00:00:00Z,584.0,584.0,23.0,,,,,,,,,0.0,0.0,0.0,27.7,31.907,56.0
2023-04-11,2023-04-11T00:00:00Z,337.0,337.0,14.0,,,,,,,,,0.0,0.0,0.0,29.9,31.884,33.5
2023-04-12,2023-04-12T00:00:00Z,698.0,698.0,24.0,,,,,,,,,0.0,0.0,0.0,27.1,30.824,31.9
2023-04-13,2023-04-13T00:00:00Z,699.0,699.0,24.0,,,,,,,,,0.0,0.0,0.0,30.7,31.471,31.9
2023-04-14,2023-04-14T00:00:00Z,701.0,701.0,24.0,,,,,,,,,0.0,0.0,0.0,31.3,31.687,32.1
2023-04-15,2023-04-15T00:00:00Z,698.0,698.0,24.0,,,,,,,,,0.0,0.0,0.0,27.4,30.879,31.7
2023-04-16,2023-04-16T00:00:00Z,695.0,695.0,24.0,,,,,,,,,0.0,0.0,0.0,25.2,29.948,31.6
2023-04-17,2023-04-17T00:00:00Z,696.0,696.0,24.0,,,,,,,,,0.0,0.0,0.0,30.1,31.219,31.6
2023-04-18,2023-04-18T00:00:00Z,688.0,688.0,24.0,,,,,,,,,0.0,0.0,0.0,28.7,30.353,32.5
2023-04-19,2023-04-19T00:00:00Z,689.0,689.0,24.0,,,,,,,,,0.0,0.0,0.0,25.0,30.194,31.9
2023-04-20,2023-04-20T00:00:00Z,691.0,691.0,24.0,,,,,,,,,0.0,0.0,0.0,26.3,30.779,32.5
2023-04-21,2023-04-21T00:00:00Z,694.0,694.0,24.0,,,,,,,,,0.0,0.0,0.0,28.8,30.781,32.4
2023-04-22,2023-04-22T00:00:00Z,686.0,686.0,24.0,,,,,,,,,0.0,0.0,0.0,24.7,30.394,32.4
2023-04-23,2023-04-23T00:00:00Z,685.0,685.0,24.0,,,,,,,,,0.0,0.0,0.0,25.5,31.894,32.6
2023-04-24,2023-04-24T00:00:00Z,687.0,687.0,24.0,,,,,,,,,0.0,0.0,0.0,29.8,31.091,32.7
2023-04-25,2023-04-25T00:00:00Z,656.0,656.0,24.0,,,,,,,,,0.0,0.0,0.0,29.6,31.398,32.9
2023-04-26,2023-04-26T00:00:00Z,688.0,688.0,24.0,,,,,,,,,0.0,0.0,0.0,28.9,31.041,32.5
2023-04-27,2023-04-27T00:00:00Z,691.0,691.0,24.0,,,,,,,,,0.0,0.0,0.0,28.6,30.724,32.5
2023-04-28,2023-04-28T00:00:00Z,686.0,686.0,24.0,,,,,,,,,0.0,0.0,0.0,27.4,30.24,32.5
2023-04-29,2023-04-29T00:00:00Z,681.0,681.0,24.0,,,,,,,,,0.0,0.0,0.0,27.9,30.31,32.5
2023-04-30,2023-04-30T00:00:00Z,687.0,687.0,24.0,,,,,,,,,0.0,0.0,0.0,26.5,29.933,32.5
2023-05-01,2023-05-01T00:00:00Z,687.0,687.0,24.0,,,,,,,,,0.0,0.0,0.0,26.8,30.037,32.7
2023-05-02,2023-05-02T00:00:00Z,683.0,683.0,24.0,,,,,,,,,0.0,0.0,0.0,22.4,28.053,32.5
2023-05-03,2023-05-03T00:00:00Z,688.0,688.0,24.0,,,,,,,,,0.0,0.0,0.0,23.3,26.939,30.6
