day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,scaled_channels
2020-05-16,2020-05-16T00:00:00Z,238.0,238.0,9.0,,,,,,,,,,,,,,,
2020-05-17,2020-05-17T00:00:00Z,698.0,698.0,24.0,,,,,,,,,,,,,,,
2020-05-18,2020-05-18T00:00:00Z,627.0,627.0,24.0,,,,,,,,,,,,,,,
2020-05-19,2020-05-19T00:00:00Z,699.0,699.0,24.0,,,,,,,,,,,,,,,
2020-05-20,2020-05-20T00:00:00Z,694.0,694.0,24.0,,,,,,,,,,,,,,,
2020-05-21,2020-05-21T00:00:00Z,700.0,700.0,24.0,,,,,,,,,,,,,,,
2020-05-22,2020-05-22T00:00:00Z,699.0,699.0,24.0,,,,,,,,,,,,,,,
2020-05-23,2020-05-23T00:00:00Z,696.0,696.0,24.0,,,,,,,,,,,,,,,
2020-05-24,2020-05-24T00:00:00Z,692.0,692.0,24.0,,,,,,,,,,,,,,,
2020-05-25,2020-05-25T00:00:00Z,691.0,691.0,24.0,,,,,,,,,,,,,,,
2020-05-26,2020-05-26T00:00:00Z,692.0,692.0,24.0,,,,,,,,,,,,,,,
2020-05-27,2020-05-27T00:00:00Z,698.0,698.0,24.0,,,,,,,,,,,,,,,
2020-05-28,2020-05-28T00:00:00Z,681.0,681.0,24.0,,,,,,,,,,,,,,,
2020-05-29,2020-05-29T00:00:00Z,698.0,698.0,24.0,,,,,,,,,,,,,,,
2020-05-30,2020-05-30T00:00:00Z,696.0,696.0,24.0,,,,,,,,,,,,,,,
2020-05-31,2020-05-31T00:00:00Z,661.0,661.0,24.0,,,,,,,,,,,,,,,
2020-06-01,2020-06-01T00:00:00Z,685.0,685.0,24.0,,,,,,,,,,,,,,,
2020-06-02,2020-06-02T00:00:00Z,425.0,425.0,15.0,,,,,,,,,,,,,,,
2020-06-03,2020-06-03T00:00:00Z,680.0,680.0,24.0,,,,,,,,,,,,,,,
2020-06-04,2020-06-04T00:00:00Z,121.0,121.0,5.0,,,,,,,,,,,,,,,
2020-06-14,2020-06-14T00:00:00Z,412.0,412.0,16.0,,,,,,,,,,,,,,,
2020-06-15,2020-06-15T00:00:00Z,37.0,37.0,2.0,,,,,,,,,,,,,,,
